,season,name,position,value,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
0,2017-18,Aaron Cresswell,DEF,50,0,0,0,2,0,0,0,0,0,0.6,18,0.4,3,9,0,0,West Ham,Man United,False,-1,8,16:00,0.10833333333333334,2017-08-13
1,2017-18,Aaron Lennon,MID,55,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Stoke,True,1,8,15:00,3.3823529411764706,2017-08-12
2,2017-18,Aaron Mooy,MID,55,1,1,0,0,0,0,0,0,1,46.9,0,40.2,22,90,0,0,Huddersfield,Crystal Palace,False,1,8,15:00,0.366,2017-08-12
3,2017-18,Aaron Ramsey,MID,70,2,0,1,0,0,0,0,0,0,11.2,26,29.6,16,23,0,0,Arsenal,Leicester,True,1,8,19:45,4.248366013071895,2017-08-11
4,2017-18,Abdoulaye Doucouré,MID,50,2,0,1,3,0,0,0,0,0,25.2,35,48.6,36,90,0,0,Watford,Liverpool,True,0,8,12:30,0.27,2017-08-12
5,2017-18,Adam Federici,GK,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Bournemouth,West Brom,False,-1,8,15:00,0.7272727272727273,2017-08-12
6,2017-18,Adam Lallana,MID,75,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Watford,False,0,8,12:30,3.7037037037037033,2017-08-12
7,2017-18,Adam Smith,DEF,50,0,0,0,0,0,0,0,0,0,0.6,0,2.2,2,10,0,0,Bournemouth,West Brom,False,-1,8,15:00,0.7272727272727273,2017-08-12
8,2017-18,Ademola Lookman,MID,55,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Everton,Stoke,True,1,8,15:00,3.3823529411764706,2017-08-12
9,2017-18,Adrian Mariappa,DEF,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Watford,Liverpool,True,0,8,12:30,0.27,2017-08-12
10,2017-18,Adrián San miguel del castillo,GK,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Man United,False,-1,8,16:00,0.10833333333333334,2017-08-13
11,2017-18,Ahmed el-sayed Hegazi,DEF,45,3,0,1,0,0,0,0,0,1,10.3,53,57.8,39,90,0,0,West Brom,Bournemouth,True,1,8,15:00,1.375,2017-08-12
12,2017-18,Ahmed Musa,MID,65,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Leicester,Arsenal,False,-1,8,19:45,0.2353846153846154,2017-08-11
13,2017-18,Alberto Moreno,DEF,45,0,0,0,3,0,0,0,0,0,12.8,7,26.8,14,90,0,0,Liverpool,Watford,False,0,8,12:30,3.7037037037037033,2017-08-12
14,2017-18,Aleksandar Kolarov,DEF,55,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man City,Brighton,False,1,8,17:30,8.270676691729323,2017-08-12
15,2017-18,Aleksandar Mitrovic,FWD,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Newcastle,Tottenham,True,-1,8,13:30,0.3090909090909091,2017-08-13
16,2017-18,Alexandre Lacazette,FWD,105,1,0,1,3,0,0,0,0,0,39.8,60,49.0,32,90,0,0,Arsenal,Leicester,True,1,8,19:45,4.248366013071895,2017-08-11
17,2017-18,Alexis Sánchez,MID,120,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Leicester,True,1,8,19:45,4.248366013071895,2017-08-11
18,2017-18,Alex Iwobi,MID,55,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Arsenal,Leicester,True,1,8,19:45,4.248366013071895,2017-08-11
19,2017-18,Alex Mccarthy,GK,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Southampton,Swansea,True,0,8,15:00,4.012345679012346,2017-08-12
20,2017-18,Alex Oxlade-chamberlain,MID,60,0,0,0,3,0,0,0,0,0,29.3,44,35.8,26,90,0,0,Arsenal,Leicester,True,1,8,19:45,4.248366013071895,2017-08-11
21,2017-18,Alfie Mawson,DEF,50,1,0,0,0,0,0,0,0,1,0.2,0,21.4,26,90,0,0,Swansea,Southampton,False,0,8,15:00,0.24923076923076926,2017-08-12
22,2017-18,Allan-roméo Nyom,DEF,50,1,0,0,0,0,0,0,0,1,1.1,0,15.6,24,90,0,0,West Brom,Bournemouth,True,1,8,15:00,1.375,2017-08-12
23,2017-18,Ander Herrera,MID,55,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,West Ham,True,1,8,16:00,9.23076923076923,2017-08-13
24,2017-18,Andreas Christensen,DEF,55,0,0,0,3,0,0,0,0,0,11.4,4,12.6,16,73,0,0,Chelsea,Burnley,True,-1,8,15:00,12.0,2017-08-12
25,2017-18,Andreas Pereira,MID,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Man United,West Ham,True,1,8,16:00,9.23076923076923,2017-08-13
26,2017-18,Andrew Robertson,DEF,50,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Liverpool,Watford,False,0,8,12:30,3.7037037037037033,2017-08-12
27,2017-18,Andrew Surman,MID,45,0,0,0,1,0,0,0,0,0,17.6,1,21.6,14,90,0,0,Bournemouth,West Brom,False,-1,8,15:00,0.7272727272727273,2017-08-12
28,2017-18,Andre Gray,FWD,65,0,0,0,0,0,0,0,0,0,2.9,0,2.2,4,27,0,0,Watford,Liverpool,True,0,8,12:30,0.27,2017-08-12
29,2017-18,Andros Townsend,MID,60,0,0,0,1,0,0,0,0,0,16.3,2,8.2,13,45,0,0,Crystal Palace,Huddersfield,True,-1,8,15:00,2.73224043715847,2017-08-12
30,2017-18,André Ayew,MID,70,0,0,0,4,0,0,0,0,0,8.7,0,1.4,7,90,0,0,West Ham,Man United,False,-1,8,16:00,0.10833333333333334,2017-08-13
31,2017-18,Andy Carroll,FWD,60,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,West Ham,Man United,False,-1,8,16:00,0.10833333333333334,2017-08-13
32,2017-18,Andy King,MID,45,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Leicester,Arsenal,False,-1,8,19:45,0.2353846153846154,2017-08-11
33,2017-18,Angelo Ogbonna,DEF,45,0,0,0,4,0,0,0,0,0,0.5,0,13.2,10,90,1,0,West Ham,Man United,False,-1,8,16:00,0.10833333333333334,2017-08-13
34,2017-18,Angel Rangel,DEF,40,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,Swansea,Southampton,False,0,8,15:00,0.24923076923076926,2017-08-12
35,2017-18,Anthony Knockaert,MID,60,0,0,0,0,0,0,0,0,0,5.2,2,2.0,5,13,0,0,Brighton,Man City,True,-1,8,17:30,0.12090909090909091,2017-08-12
36,2017-18,Anthony Martial,MID,80,2,1,1,0,0,0,0,0,0,11.1,21,51.4,32,10,0,0,Man United,West Ham,True,1,8,16:00,9.23076923076923,2017-08-13
37,2017-18,Antonio Rüdiger,DEF,60,0,0,0,3,0,0,0,0,0,2.0,9,21.8,11,90,1,0,Chelsea,Burnley,True,-1,8,15:00,12.0,2017-08-12
38,2017-18,Antonio Valencia,DEF,65,1,0,0,0,0,0,0,0,1,17.2,8,19.4,22,90,1,0,Man United,West Ham,True,1,8,16:00,9.23076923076923,2017-08-13
