,season,name,position,value,value_delta,adjusted_points_range,assists,goals_scored,goals_conceded,saves,own_goals,penalties_missed,penalties_saved,clean_sheets,creativity,threat,influence,bps,minutes,yellow_cards,red_cards,plays_for,opponent_team,was_home,is_won,month_of_match,time_of_match,win_expectation,date_of_match
0,2018-19,Aaron Cresswell,DEF,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,West Ham,Liverpool,False,-1,8,13:30,0.08928571428571429,2018-08-12
1,2018-19,Aaron Lennon,MID,50,0.0,1,0,0,0,0,0,0,0,1,12.3,17.0,10.0,6,90,0,0,Burnley,Southampton,False,0,8,13:30,0.37,2018-08-12
2,2018-19,Aaron Mooy,MID,55,0.0,0,0,0,3,0,0,0,0,0,18.2,0.0,20.2,24,90,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
3,2018-19,Aaron Ramsey,MID,75,0.0,0,0,0,1,0,0,0,0,0,10.8,9.0,9.4,7,53,0,0,Arsenal,Man City,True,-1,8,16:00,0.4875,2018-08-12
4,2018-19,Aaron Wan-bissaka,DEF,40,0.0,2,1,0,0,0,0,0,0,1,14.0,0.0,46.0,38,90,0,0,Crystal Palace,Fulham,False,1,8,15:00,0.8333333333333334,2018-08-11
5,2018-19,Abdelhamid Sabiri,MID,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
6,2018-19,Abdoulaye Doucouré,MID,60,0.0,1,0,0,0,0,0,0,0,1,25.8,2.0,11.6,16,90,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
7,2018-19,Aboubakar Kamara,FWD,45,0.0,0,0,0,1,0,0,0,0,0,25.6,22.0,6.2,2,29,0,0,Fulham,Crystal Palace,True,-1,8,15:00,1.2,2018-08-11
8,2018-19,Adama Diakhaby,MID,50,0.0,0,0,0,1,0,0,0,0,0,0.3,0.0,4.2,2,19,0,0,Huddersfield,Chelsea,True,-1,8,15:00,0.2476923076923077,2018-08-11
9,2018-19,Adama Traoré,MID,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Wolves,Everton,True,0,8,17:30,1.3924050632911391,2018-08-11
10,2018-19,Adam Lallana,MID,70,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Liverpool,West Ham,True,1,8,13:30,11.2,2018-08-12
11,2018-19,Adam Masina,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
12,2018-19,Adam Smith,DEF,45,0.0,1,0,0,0,0,0,0,0,1,15.5,0.0,16.2,25,90,0,0,Bournemouth,Cardiff,True,1,8,15:00,2.368421052631579,2018-08-11
13,2018-19,Ademola Lookman,MID,55,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Everton,Wolves,False,0,8,17:30,0.7181818181818183,2018-08-11
14,2018-19,Adrian Mariappa,DEF,45,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,Watford,Brighton,True,1,8,15:00,1.4345991561181433,2018-08-11
15,2018-19,Adrien sebastian Perruchet silva,MID,50,0.0,0,0,0,1,0,0,0,0,0,6.2,0.0,10.8,13,79,0,0,Leicester,Man United,False,-1,8,20:00,0.20933333333333334,2018-08-10
